15S_rRNA	0
21S_rRNA	0
HRA1	0
LSR1	0
NME1	0
Q0010	0
Q0017	0
Q0032	0
Q0045	0
Q0050	0
Q0055	0
Q0060	0
Q0065	0
Q0070	0
Q0075	0
Q0080	0
Q0085	0
Q0092	0
Q0105	0
Q0110	0
Q0115	0
Q0120	0
Q0130	0
Q0140	0
Q0142	0
Q0143	0
Q0144	0
Q0160	0
Q0182	0
Q0250	0
Q0255	0
Q0275	0
Q0297	0
R0010W	3
R0020C	14
R0030W	1
R0040C	20
RDN18-1	205
RDN18-2	2
RDN25-1	1408
RDN25-2	59
RDN5-1	0
RDN5-2	1
RDN5-3	0
RDN5-4	0
RDN5-5	3
RDN5-6	0
RDN58-1	85
RDN58-2	1
RNA170	0
RPM1	0
RPR1	0
RUF5-1	0
RUF5-2	0
SCR1	0
SRG1	1
TLC1	0
YAL001C	3
YAL002W	2
YAL003W	31
YAL004W	0
YAL005C	31
YAL007C	8
YAL008W	0
YAL009W	0
YAL010C	0
YAL011W	1
YAL012W	6
YAL013W	1
YAL014C	0
YAL015C	1
YAL016C-A	0
YAL016C-B	0
YAL016W	4
YAL017W	3
YAL018C	0
YAL019W	5
YAL019W-A	0
YAL020C	0
YAL021C	1
YAL022C	0
YAL023C	7
YAL024C	0
YAL025C	3
YAL026C	4
YAL026C-A	0
YAL027W	0
YAL028W	0
YAL029C	7
YAL030W	2
YAL031C	2
YAL031W-A	0
YAL032C	0
YAL033W	3
YAL034C	0
YAL034C-B	0
YAL034W-A	1
YAL035W	23
YAL036C	7
YAL037C-A	0
YAL037C-B	0
YAL037W	0
YAL038W	105
YAL039C	3
YAL040C	5
YAL041W	3
YAL042C-A	0
YAL042W	6
YAL043C	3
YAL044C	2
YAL044W-A	2
YAL045C	0
YAL046C	0
YAL047C	2
YAL047W-A	0
YAL048C	0
YAL049C	1
YAL051W	1
YAL053W	4
YAL054C	0
YAL055W	0
YAL056C-A	0
YAL056W	0
YAL058W	1
YAL059C-A	0
YAL059W	2
YAL060W	4
YAL061W	3
YAL062W	0
YAL063C	0
