15S_rRNA		0	0
21S_rRNA		0	0
HRA1		0	0
LSR1		0	0
NME1		0	0
Q0010	Q0010	0	0
Q0017	Q0017	0	0
Q0032	Q0032	0	0
Q0045	COX1	0	0
Q0050	AI1	0	0
Q0055	AI2	0	0
Q0060	AI3	0	0
Q0065	AI4	0	0
Q0070	AI5_ALPHA	0	0
Q0075	AI5_BETA	0	0
Q0080	ATP8	0	0
Q0085	ATP6	0	0
Q0092	Q0092	0	0
Q0105	COB	0	0
Q0110	BI2	0	0
Q0115	BI3	0	0
Q0120	BI4	0	0
Q0130	OLI1	0	0
Q0140	VAR1	0	0
Q0142	Q0142	0	0
Q0143	Q0143	0	0
Q0144	Q0144	0	0
Q0160	SCEI	0	0
Q0182	Q0182	0	0
Q0250	COX2	0	0
Q0255	Q0255	0	0
Q0275	COX3	0	0
Q0297	Q0297	0	0
R0010W	FLP1	3	3
R0020C	REP1	14	14
R0030W	RAF1	1	1
R0040C	REP2	20	20
RDN18-1		205	205
RDN18-2		2	2
RDN25-1		1408	1408
RDN25-2		59	59
RDN5-1		0	0
RDN5-2		1	1
RDN5-3		0	0
RDN5-4		0	0
RDN5-5		3	3
RDN5-6		0	0
RDN58-1		85	85
RDN58-2		1	1
RNA170		0	0
RPM1		0	0
RPR1		0	0
RUF5-1		0	0
RUF5-2		0	0
SCR1		0	0
SRG1		1	1
TLC1		0	0
YAL001C	TFC3	3	3
YAL002W	VPS8	2	2
YAL003W	EFB1	31	31
YAL004W	YAL004W	0	0
YAL005C	SSA1	31	31
YAL007C	ERP2	8	8
YAL008W	FUN14	0	0
YAL009W	SPO7	0	0
YAL010C	MDM10	0	0
YAL011W	SWC3	1	1
YAL012W	CYS3	6	6
YAL013W	DEP1	1	1
YAL014C	SYN8	0	0
YAL015C	NTG1	1	1
YAL016C-A	YAL016C-A	0	0
YAL016C-B	YAL016C-B	0	0
YAL016W	TPD3	4	4
YAL017W	PSK1	3	3
YAL018C	YAL018C	0	0
YAL019W	FUN30	5	5
YAL019W-A	YAL019W-A	0	0
YAL020C	ATS1	0	0
YAL021C	CCR4	1	1
YAL022C	FUN26	0	0
YAL023C	PMT2	7	7
YAL024C	LTE1	0	0
YAL025C	MAK16	3	3
YAL026C	DRS2	4	4
YAL026C-A	YAL026C-A	0	0
YAL027W	YAL027W	0	0
YAL028W	FRT2	0	0
YAL029C	MYO4	7	7
YAL030W	SNC1	2	2
YAL031C	GIP4	2	2
YAL031W-A	YAL031W-A	0	0
YAL032C	PRP45	0	0
YAL033W	POP5	3	3
YAL034C	FUN19	0	0
YAL034C-B	YAL034C-B	0	0
YAL034W-A	MTW1	1	1
YAL035W	FUN12	23	23
YAL036C	RBG1	7	7
YAL037C-A	YAL037C-A	0	0
YAL037C-B	YAL037C-B	0	0
YAL037W	YAL037W	0	0
YAL038W	CDC19	105	105
YAL039C	CYC3	3	3
YAL040C	CLN3	5	5
YAL041W	CDC24	3	3
YAL042C-A	YAL042C-A	0	0
YAL042W	ERV46	6	6
YAL043C	PTA1	3	3
YAL044C	GCV3	2	2
YAL044W-A	YAL044W-A	2	2
YAL045C	YAL045C	0	0
YAL046C	YAL046C	0	0
YAL047C	SPC72	2	2
YAL047W-A	YAL047W-A	0	0
YAL048C	GEM1	0	0
YAL049C	YAL049C	1	1
YAL051W	OAF1	1	1
YAL053W	FLC2	4	4
YAL054C	ACS1	0	0
YAL055W	PEX22	0	0
YAL056C-A	YAL056C-A	0	0
YAL056W	GPB2	0	0
YAL058W	CNE1	1	1
YAL059C-A	YAL059C-A	0	0
YAL059W	ECM1	2	2
YAL060W	BDH1	4	4
YAL061W	BDH2	3	3
YAL062W	GDH3	0	0
YAL063C	FLO9	0	0
YAL063C-A	YAL063C-A	0	0
YAL064C-A	YAL064C-A	0	0
YAL064W	YAL064W	0	0
YAL064W-B	YAL064W-B	0	0
YAL065C	YAL065C	0	0
YAL066W	YAL066W	0	0
YAL067C	SEO1	0	0
YAL067W-A	YAL067W-A	0	0
YAL068C	PAU8	0	0
YAL068W-A	YAL068W-A	0	0
YAL069W	YAL069W	0	0
YAR002C-A	ERP1	2	2
YAR002W	NUP60	2	2
YAR003W	SWD1	3	3
YAR007C	RFA1	4	4
YAR008W	SEN34	1	1
YAR009C	YAR009C	0	0
YAR010C	YAR010C	0	0
YAR014C	BUD14	5	5
YAR015W	ADE1	5	5
YAR018C	KIN3	0	0
YAR019C	CDC15	1	1
YAR019W-A	YAR019W-A	0	0
YAR020C	PAU7	0	0
YAR023C	YAR023C	0	0
YAR027W	UIP3	2	2
YAR028W	YAR028W	0	0
YAR029W	YAR029W	0	0
YAR030C	YAR030C	0	0
YAR031W	PRM9	0	0
YAR033W	MST28	0	0
YAR035C-A	YAR035C-A	0	0
YAR035W	YAT1	0	0
YAR042W	SWH1	2	2
YAR047C	YAR047C	0	0
YAR050W	FLO1	0	0
YAR053W	YAR053W	0	0
YAR060C	YAR060C	0	0
YAR061W		0	0
YAR062W		0	0
YAR064W	YAR064W	0	0
YAR066W	YAR066W	0	0
YAR068W	YAR068W	11	11
YAR069C	YAR069C	0	0
YAR070C	YAR070C	0	0
YAR071W	PHO11	1	1
YAR073W	IMD1	0	0
YAR075W	YAR075W	0	0
YBL001C	ECM15	2	2
YBL002W	HTB2	6	6
YBL003C	HTA2	20	20
YBL004W	UTP20	8	8
YBL005W	PDR3	2	2
YBL005W-A	YBL005W-A	0	0
YBL005W-B	YBL005W-B	3	3
YBL006C	LDB7	1	1
YBL006W-A	YBL006W-A	0	0
YBL007C	SLA1	4	4
YBL008W	HIR1	2	2
YBL008W-A	YBL008W-A	0	0
YBL009W	ALK2	3	3
YBL010C	YBL010C	1	1
